Unnamed: 0,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도,Okt_tokens,KNU_Score,KNU_label
239,앗있고 아이도 잘먹어서 좋아요,5,2024.01.08.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['앗있고', '아이', '도', '잘', '먹어서', '좋아요']",1,긍정
240,너무 맛있어서 하루만에 다먹고 이만큼 남았어요!!!!3일만에 재구매합니다!!! 진짜 궁채...최고입니다...,5,2024.01.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있어서', '하루', '만에', '다', '먹고', '이', '만큼', '남았어요', '!!!!', '3일', '만에', '재구매', '합니다', '!!!', '진짜', '궁채', '...', '최고', '입니다', '...']",2,긍정
241,너무 맛있어요 추천합니다,5,2024.01.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있어요', '추천', '합니다']",0,중립
242,"아삭하니 맛있어요.
감사합니다.",5,2024.01.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아', '삭', '하', '니', '맛있어요', '.', '\n', '감사합니다', '.']",0,중립
243,늘 주문하는 메뉴입니다.아삭하고 어디에나 어울리는 반찬입니다,5,2024.01.08.,구매자거주인원 2인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,아주 넉넉해요,꼼꼼해요,맛있어요,"['늘', '주문', '하는', '메뉴', '입니다', '.', '아', '삭', '하고', '어디', '에나', '어울리는', '반찬', '입니다']",2,긍정
244,"아삭아삭 맛있게 먹었어요~
궁채는 딸이 좋아하네요??",5,2024.01.08.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['아삭아삭', '맛있게', '먹었어요', '~', '\n', '궁', '채는', '딸', '이', '좋아하네요', '??']",2,긍정
245,"너무 맛있게 먹고있습니다
다먹으면 또 구매해서 먹을생각이에요",5,2024.01.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있게', '먹고있습니다', '\n', '다', '먹으면', '또', '구매', '해서', '먹을', '생각', '이에요']",2,긍정
246,궁금해서 먹어봤는데 그냥그래요,5,2024.01.07.,구매자거주인원 5인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 5인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['궁금해서', '먹어', '봤는데', '그냥', '그래요']",0,중립
247,아이 반찬으로 구매했는데 아이도 잘 먹네요,5,2024.01.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아이', '반찬', '으로', '구매', '했는데', '아이', '도', '잘', '먹네요']",1,긍정
248,"사장님!! 제가 도대체 몇 병째 주문이죠?
저희 가족은 단양이란 곳을 가본적이 없는데
아이들이 궁채장아찌를 워낙 좋아해서
'단양구경시장 유리네'는 잘 알아요~ㅋ
겨울방학이라서 아이들이 집에서 밥 먹는
횟수가 늘어나서 밑반찬으로 미리 넉넉히 
주문했더니 아이들이 넘 좋아하네요~
맛있게 잘 먹을께요^^",5,2024.01.06.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['사장', '님', '!!', '제', '가', '도대체', '몇', '병', '째', '주문', '이', '죠', '?', '\n', '저희', '가족', '은', '단양', '이란', '곳', '을', '가본', '적', '이', '없는데', '\n', '아이', '들', '이', '궁채', '장아찌', '를', '워낙', '좋아해서', '\n', ""'"", '단', '양', '구', '경', '시장', '유리', '네', ""'"", '는', '잘', '알아요', '~', 'ㅋ', '\n', '겨울방학', '이라서', '아이', '들', '이', '집', '에서', '밥', '먹는', '\n', '횟수', '가', '늘어나서', '밑반찬', '으로', '미리', '넉넉히', '주문', '했더니', '아이', '들', '이', '넘', '좋아하네요', '~', '\n', '맛있게', '잘', '먹을께요', '^^']",3,긍정
249,너무  맛있어요  질리지않는  맛  최고입니다 이제  궁채먹을려고  고기먹어요,5,2024.01.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있어요', '질리', '지', '않는', '맛', '최고', '입니다', '이제', '궁채', '먹을려고', '고기', '먹어요']",2,긍정
250,빠른배송  감사합니다  진짜너무맛있어요,5,2024.01.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['빠른', '배송', '감사합니다', '진짜', '너무', '맛있어요']",0,중립
251,"항상 잘 먹고 있어요
초석잠이 더 맛있어요",5,2024.01.06.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['항상', '잘', '먹고', '있어요', '\n', '초석', '잠', '이', '더', '맛있어요']",1,긍정
252,좋아요 좋아요 좋아요 좋아요 좋아요,5,2024.01.05.,구매자거주인원 3인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인,아주 넉넉해요,꼼꼼해요,맛있어요,"['좋아요', '좋아요', '좋아요', '좋아요', '좋아요']",0,중립
253,약간 제 입맛은 좀 짜요..그럼 밥을 좀더 먹으면 괜찮아요..다음에는 다른것도 시켜봐야 겠어요,4,2024.01.04.,구매자거주인원 1인싱글유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 1인싱글,꽤 남았어요,적당해요,맛있어요,"['약간', '제', '입맛', '은', '좀', '짜요', '..', '그럼', '밥', '을', '좀더', '먹으면', '괜찮아요', '..', '다음', '에는', '다른', '것', '도', '시켜', '봐야', '겠어요']",0,중립
254,궁채 식감도 좋고 간이 짜지않아서 밥반찬으로 잘 먹고있어요!,5,2024.01.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['궁채', '식', '감도', '좋고', '간이', '짜지', '않아서', '밥', '반찬', '으로', '잘', '먹고있어요', '!']",3,긍정
255,배송 잘 받았습니다!!,5,2024.01.04.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['배송', '잘', '받았습니다', '!!']",1,긍정
256,"세번째 재구매 입니다. 항상 맛있게 먹고 있습니다. 
감사합니다.",5,2024.01.04.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['세번', '째', '재구매', '입니다', '.', '항상', '맛있게', '먹고', '있습니다', '.', '감사합니다', '.']",2,긍정
257,아이들이 좋아해서 자주시킵니다,5,2024.01.04.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['아이', '들', '이', '좋아해서', '자주', '시킵니다']",0,중립
258,"리뷰가 너무 좋아서 샀는데 제 입엔 너무 달고 셔요;
맛이 강해서 잘게 잘라서 먹어야 할거 같아요",3,2024.01.04.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['리뷰', '가', '너무', '좋아서', '샀는데', '제', '입', '엔', '너무', '달', '고', '셔', '요', ';', '\n', '맛', '이', '강해서', '잘게', '잘라서', '먹어야', '할거', '같아요']",3,긍정
259,"맛있어요 만들려고 하면 고생인데
편하게 사먹울수 있어서 좋아요",5,2024.01.03.,구매자거주인원 2인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '만들려고', '하면', '고생', '인데', '\n', '편하게', '사먹울수', '있어서', '좋아요']",2,긍정
260,아삭하고 새콤달콤 맛있어요,5,2024.01.03.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['아', '삭', '하고', '새', '콤달콤', '맛있어요']",0,중립
261,몇년째 주문중입니다 맛있어요 고기먹을때 필수,5,2024.01.03.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['몇', '년', '째', '주문', '중', '입니다', '맛있어요', '고기', '먹을', '때', '필수']",1,긍정
262,간이아주잘되었습니다,5,2024.01.03.,구매자거주인원 5인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 5인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['간이아주잘', '되었습니다']",0,중립
263,"맛있어서 벌써 다 먹고 추가주문 했습니다.
무른거 없이 아삭하고 너무 맛있어서 자주 구매하려고 합니다.
그냥 먹어도 맛있고 양념에 무쳐먹어도 좋네요",5,2024.01.02.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어서', '벌써', '다', '먹고', '추가', '주문', '했습니다', '.', '\n', '무른거', '없이', '아', '삭', '하고', '너무', '맛있어서', '자주', '구매', '하려고', '합니다', '.', '\n', '그냥', '먹어도', '맛있고', '양념', '에', '무쳐', '먹어도', '좋네요']",0,중립
264,너무달고마음에안드네요 아쉽네요,5,2024.01.01.,구매자거주인원 4인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '달', '고', '마음', '에', '안드', '네', '요', '아쉽네요']",0,중립
265,"엄마가 궁태주문을 원하셔서 리뷰를 꼼꼼하게 보구 주문하긴 했는데 호불호가 있는 듯 해서 주문하면서도 걱정했는데 맛있네요 질기지도 않고 아삭아삭해요 끝까지 한번 먹어보고 재주문하겠습니다!!!!

2023.12.28 제조
2024.03.28 까지",5,2024.01.01.,구매자거주인원 5인대가족유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 5인대가족,꽤 남았어요,꼼꼼해요,맛있어요,"['엄마', '가', '궁태', '주문', '을', '원하셔서', '리뷰', '를', '꼼꼼하게', '보구', '주문', '하긴', '했는데', '호불호', '가', '있는', '듯', '해서', '주문', '하면서도', '걱정', '했는데', '맛있네요', '질기', '지도', '않고', '아삭아삭', '해', '요', '끝', '까지', '한번', '먹어', '보고', '재주', '문하겠습니다', '!!!!', '\n\n', '2023.12', '.', '28', '제조', '\n', '2024.03', '.', '28', '까지']",-2,부정
266,아빠가 좋아하셔서 주문했어요 두번째 드시는데 좋아하시네어 ㅎ헤,4,2024.01.01.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['아빠', '가', '좋아하셔서', '주문', '했어요', '두번째', '드시는데', '좋아하시', '네', '어', 'ㅎ', '헤']",0,중립
267,매번시켜먹어요 너무맛나요. 아삭아삭해요,5,2023.12.30.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['매번', '시켜', '먹어요', '너무', '맛', '나', '요', '.', '아삭아삭', '해', '요']",-2,부정
268,"무슨일이죠?.......
이거 너무 맛있어요ㅠㅜ 
자주 시켜 먹을듯!! 번창하세요~!!!!",5,2023.12.30.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['무슨', '일이', '죠', '?.......', '\n', '이', '거', '너무', '맛있어요', 'ㅠㅜ', '자주', '시켜', '먹을듯', '!!', '번창', '하세요', '~!!!!']",0,중립
269,보관하기 편하게 왔습니다,4,2023.12.30.,구매자거주인원 2인대가족맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 2인대가족,평범해요,아주 넉넉해요,꼼꼼해요,"['보관', '하기', '편하게', '왔습니다']",2,긍정
270,한식당 코스 먹으면 나오는 ㅎㅎ늘 아삭하고 맛있습니다. 단짠의 조화가 훌륭. 한식 뿐 아니라 느끼한 양식에도 잘 어울려요,5,2023.12.29.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['한식당', '코스', '먹으면', '나오는', 'ㅎㅎ', '늘', '아', '삭', '하고', '맛있습니다', '.', '단', '짠의', '조화', '가', '훌륭', '.', '한식', '뿐', '아니라', '느끼한', '양식', '에도', '잘', '어울려요']",4,긍정
271,매번 생각나면 주문 하는 것 같아요 맛있어요,5,2023.12.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['매번', '생각나면', '주문', '하는', '것', '같아요', '맛있어요']",0,중립
272,"배송 잘 받았습니다.
아직 먹진 않았지만 빠른 배송 감사해요!",5,2023.12.27.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['배송', '잘', '받았습니다', '.', '\n', '아직', '먹진', '않았지만', '빠른', '배송', '감사해요', '!']",1,긍정
273,또 생각나서 주문합니다. 너무 짜지 않아서 좋아요,5,2023.12.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['또', '생각나서', '주문', '합니다', '.', '너무', '짜지', '않아서', '좋아요']",0,중립
274,맛있어요 어디에나 어울리는 반찬이라 계속 시켜요,4,2023.12.26.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '어디', '에나', '어울리는', '반찬', '이라', '계속', '시켜요']",2,긍정
275,"궁채장아찌 먹어보고 맛있어서 추가주문 했습니다.
아삭하고 맛있어서 라면, 고기, 튀김 어디에나 다 어울려서 금방 다 먹어버리게 되네요
모듬장아찌도 함께 구매했는데 양파도 아삭하고 고추도 매콤하니 좋습니다. 추가구매 의사 있습니다.",5,2023.12.26.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['궁채', '장아찌', '먹어', '보고', '맛있어서', '추가', '주문', '했습니다', '.', '\n', '아', '삭', '하고', '맛있어서', '라면', ',', '고기', ',', '튀김', '어디', '에나', '다', '어울려서', '금방', '다', '먹어', '버리게', '되네요', '\n', '모', '듬', '장아찌', '도', '함께', '구매', '했는데', '양파', '도', '아', '삭', '하고', '고추', '도', '매콤', '하니', '좋습니다', '.', '추가', '구매', '의사', '있습니다', '.']",1,긍정
276,집사람이 좋아해서 구매했어요,5,2023.12.26.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['집사람', '이', '좋아해서', '구매', '했어요']",0,중립
277,"맛있어요
즐겨먹는거라 이번엔 인터넷으로 첫주문하는데 청결하게 제작한티가 나는거같아요
재구매의사있어요",5,2023.12.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '\n', '즐겨', '먹는거라', '이번', '엔', '인터넷', '으로', '첫', '주문', '하는데', '청결하게', '제', '작', '한', '티', '가', '나는거', '같아요', '\n', '재구매', '의사', '있어요']",2,긍정
278,부모님이 드시고 싶어하셔서 사드렸습니다. 맛있게 드시고 계신다고 하네요,5,2023.12.25.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['부모님', '이', '드시고', '싶어하셔서', '사', '드렸습니다', '.', '맛있게', '드시고', '계신다고', '하네요']",2,긍정
279,궁채 좋아해서 시켰는데 요즘 밥반찬으로 잘먹고있어요^^,4,2023.12.23.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['궁채', '좋아해서', '시켰는데', '요즘', '밥', '반찬', '으로', '잘', '먹고있어요', '^^']",2,긍정
280,"처음먹어보는 궁채장아찌인데 
식감좋고 맛있어요~~~",5,2023.12.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['처음', '먹어', '보는', '궁채', '장아찌', '인데', '식감', '좋고', '맛있어요', '~~~']",2,긍정
281,오랜만에 재구매 했는데 여전히 여기가 제일 맛있어요!,5,2023.12.23.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['오랜', '만', '에', '재구매', '했는데', '여전히', '여기', '가', '제일', '맛있어요', '!']",0,중립
282,"배송도 빠르고, 음식이 신선했습니다.",5,2023.12.22.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['배송', '도', '빠르고', ',', '음식', '이', '신선했습니다', '.']",0,중립
283,잘받았습니다~~~~,4,2023.12.22.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['잘', '받았습니다', '~~~~']",1,긍정
284,빠른 배송 감사합니다. 고기 구워 먹을 때 빠지면 섭섭한 장아찌 입니다.,5,2023.12.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['빠른', '배송', '감사합니다', '.', '고기', '구워', '먹을', '때', '빠지면', '섭섭한', '장아찌', '입니다', '.']",-1,부정
285,"적당합니다. 맛나요. 
장아찌류 말고 다른 양념으로 다양하게 하면 좋을거 같아요.",4,2023.12.21.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['적당합니다', '.', '맛', '나', '요', '.', '장아찌', '류', '말고', '다른', '양념', '으로', '다양하게', '하면', '좋을거', '같아요', '.']",0,중립
286,"맛있어요, 포장도 잘 돼어있고,",5,2023.12.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', ',', '포장', '도', '잘', '돼어있고', ',']",1,긍정
287,씹는 느낌도 좋고 맛있습니다.,5,2023.12.19.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['씹는', '느낌', '도', '좋고', '맛있습니다', '.']",2,긍정
288,부모님 드시라고 보내드렸는데 식감이 너무 좋고 맛있다고 좋아하셨어요~^^후기가 좋아서 믿고 주문했는데 만족스럽네요 ㅎㅎ!!,5,2023.12.19.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['부모님', '드시라고', '보내', '드렸는데', '식감', '이', '너무', '좋고', '맛있다고', '좋아하셨어요', '~^^', '후기', '가', '좋아서', '믿고', '주문', '했는데', '만족스럽네요', 'ㅎㅎ', '!!']",6,긍정
289,"아삭한 식감, 깔끔한 용기.
고기, 피자, 스파게티 먹을때
새콤,달콤 느끼함을 잡아주네요",5,2023.12.18.,구매자거주인원 2인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['아', '삭', '한', '식감', ',', '깔끔한', '용기', '.', '\n', '고기', ',', '피자', ',', '스파게티', '먹을', '때', '\n', '새', '콤', ',', '달콤', '느끼함을', '잡아주네요']",3,긍정
290,"궁채 좋아해서 식당가면 추가로 주문해서 자주 시켜먹는편인데  집에서 입맛 없거나 개운한게 먹고 싶을때 먹으려고 찿아보다가 주문하게 되었어요.꼬들꼬들 식감에 간도 적당히 짜지도 않고 새콤달콤 맛있어요.2통 시켰는데 금방 먹을꺼 같네요.
잘 먹겠습니다.~^^",5,2023.12.18.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요,"['궁채', '좋아해서', '식당가', '면', '추가', '로', '주문', '해서', '자주', '시켜', '먹는', '편', '인데', '집', '에서', '입맛', '없거나', '개운한게', '먹고', '싶을', '때', '먹으려고', '찿', '아', '보다가', '주문', '하게', '되었어요', '.', '꼬들꼬들', '식감', '에', '간도', '적당히', '짜지도', '않고', '새', '콤달콤', '맛있어요', '.', '2', '통', '시켰는데', '금방', '먹을꺼', '같네요', '.', '\n', '잘', '먹겠습니다', '.~^^']",1,긍정
291,적당하게 본인스타일로 가미해서 먹으면 더 맛있게 드실 수 있을 겁니다,5,2023.12.18.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['적당하게', '본인', '스타일', '로', '가미', '해서', '먹으면', '더', '맛있게', '드실', '수', '있을', '겁니다']",3,긍정
292,맛나게 잘 먹고 있어요,5,2023.12.16.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛', '나게', '잘', '먹고', '있어요']",1,긍정
293,"두번째 구입했어요.
 상추대는 중국산인가봐요.
설명에는 단양에서 제조한거로 되어있네요
잘 먹을게요",4,2023.12.15.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['두번째', '구입', '했어요', '.', '\n ', '상추', '대', '는', '중국산', '인가', '봐요', '.', '\n', '설명', '에는', '단양', '에서', '제', '조', '한', '거', '로', '되어있네요', '\n', '잘', '먹을게요']",1,긍정
294,짜지않고 깔끔하니좋아요,5,2023.12.15.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['짜지', '않고', '깔끔하니', '좋아요']",0,중립
295,"친구꺼 맛보고 너무 맛있어서 구매했어요~~
역시나 맛있네요!!",5,2023.12.15.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,적당해요,맛있어요,"['친구', '꺼', '맛보고', '너무', '맛있어서', '구매', '했어요', '~~', '\n', '역시', '나', '맛있네요', '!!']",1,긍정
296,아삭하니 맛잇어요 ...조금마니 짜요 ..짱이찌유라 어쩔수 없다샹각해요 다시 재주문할거에요,4,2023.12.15.,구매자거주인원 4인대가족맛 만족도평범해요유통기한꽤 남았어요포장적당해요,구매자거주인원 4인대가족,평범해요,꽤 남았어요,적당해요,"['아', '삭', '하', '니', '맛', '잇어요', '...', '조금', '마니', '짜요', '..', '짱', '이', '찌', '유라', '어쩔', '수', '없다', '샹', '각', '해', '요', '다시', '재', '주문', '할거에요']",-3,부정
297,신세계 입니다. 드셔 보세요,5,2023.12.14.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['신세계', '입니다', '.', '드셔', '보세요']",0,중립
298,"반찬으로 아삭하고 상큼한 단무지 좋아하시는 울 아버지가 단무지 대신 잘 드시네요
색소 첨가 단무지보다 훨씬 낫겠지요
아삭하고 맛있습니다~",5,2023.12.14.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['반찬', '으로', '아', '삭', '하고', '상큼', '한', '단무지', '좋아하시는', '울', '아버지', '가', '단무지', '대신', '잘', '드시네요', '\n', '색소', '첨가', '단무지', '보다', '훨씬', '낫겠지요', '\n', '아', '삭', '하고', '맛있습니다', '~']",1,긍정
299,"초5딸 아이가 좋아해서 시켜봤어요.
아삭아삭 맛있어요 포장상태  좋아요
다음에  또 주문해야겠어요",5,2023.12.14.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['초', '5', '딸', '아이', '가', '좋아해서', '시켜', '봤어요', '.', '\n', '아삭아삭', '맛있어요', '포장', '상태', '좋아요', '\n', '다음', '에', '또', '주문', '해야겠어요']",0,중립
300,몸에 좋다고 해서 구입했습니다,5,2023.12.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['몸', '에', '좋다고', '해서', '구입', '했습니다']",2,긍정
301,"맛있어요,조금짠데
밥에먹으면좀괜찮아요~~~",5,2023.12.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', ',', '조금', '짠데', '\n', '밥', '에', '먹으면', '좀', '괜찮아요', '~~~']",0,중립
302,너뮤 맛있어요  더 주문할걸 후회해요 매번,5,2023.12.13.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요,"['너', '뮤', '맛있어요', '더', '주문', '할', '걸', '후회', '해요', '매번']",-2,부정
303,밥먹을때 항상 좀 과일이나 이런 입을 씻을수있는? 장아찌류를 먹는 편인데 역시 맛있네요^^ 진짜 아무생각없이 오도독 오도독 먹다보면 순삭이에요,5,2023.12.13.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['밥', '먹을', '때', '항상', '좀', '과일', '이나', '이런', '입', '을', '씻을수있는', '?', '장아찌', '류', '를', '먹는', '편', '인데', '역시', '맛있네요', '^^', '진짜', '아무', '생각', '없이', '오도독', '오도독', '먹다', '보면', '순삭', '이에요']",1,긍정
304,아주아주 자알 쓰는중,5,2023.12.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아주아주', '자알', '쓰는', '중']",0,중립
305,"궁채짱아찌 식감때문에 끊지 못하는 밥찬이에요
짱아찌 하나로만으로도 밥을 너무 맛있게 잘먹네요",5,2023.12.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['궁채', '짱아찌', '식감', '때문', '에', '끊지', '못', '하는', '밥찬', '이에요', '\n', '짱아찌', '하나로', '만으로도', '밥', '을', '너무', '맛있게', '잘', '먹네요']",3,긍정
306,완전 맛있어요~~!!! 다 먹고 또 사먹을거에요~!,5,2023.12.12.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['완전', '맛있어요', '~~!!!', '다', '먹고', '또', '사먹을거에요', '~!']",0,중립
307,빠른 배송과 구매하길 잘했습니다,5,2023.12.12.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['빠른', '배송', '과', '구매', '하길', '잘', '했습니다']",1,긍정
308,항상 구매합니다!맛있어요~,5,2023.12.12.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['항상', '구매', '합니다', '!', '맛있어요', '~']",0,중립
